Barcode;ItemDescription;Category;Brand;ColorDescription;Size;ImageUrl
198376721022;SLADE ULTRA - MERCER;Ayakkabı;Skechers;Mavi-Gri;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/211069-aqgr/01.jpg
198376588489;JUMPSTERS SANDAL - BUTTERFLY BRITES;Ayakkabı;Skechers;Mavi/Multi;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303109l-aqmt/1.jpg
198739120387;JUMPSTERS SANDAL - BUTTERFLY BRITES;Ayakkabı;Skechers;Mavi/Multi;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303109l-aqmt/1.jpg
198739727173;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
197976600546;D'LUX WALKER 2.0 - NEON SİTES;Ayakkabı;Skechers;Mavi/Multi;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150107-AQMT/01.jpg
198376922641;JUMPSTERS SANDAL - BUTTERFLY BRITES;Ayakkabı;Skechers;Mavi/Multi;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303109n-aqmt/1.jpg
198739727265;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;3;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
198739727197;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
198739727258;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;2.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
198376922658;JUMPSTERS SANDAL - BUTTERFLY BRITES;Ayakkabı;Skechers;Mavi/Multi;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303109n-aqmt/1.jpg
198739727159;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;10.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
198739727234;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;1.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
198376922634;JUMPSTERS SANDAL - BUTTERFLY BRITES;Ayakkabı;Skechers;Mavi/Multi;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303109n-aqmt/1.jpg
198739727210;POWER JAMS 2.0;Ayakkabı;Skechers;Mavi/Multi;13.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/302199l-aqmt/01.jpg
197627634395;JUMPSTERS-TECH;Ayakkabı;Skechers;Mavi/Pembe;13;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303603l-aqpk/01.jpg
197627634418;JUMPSTERS-TECH;Ayakkabı;Skechers;Mavi/Pembe;1;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303603l-aqpk/01.jpg
197627634364;JUMPSTERS-TECH;Ayakkabı;Skechers;Mavi/Pembe;11.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303603l-aqpk/01.jpg
197627634388;JUMPSTERS-TECH;Ayakkabı;Skechers;Mavi/Pembe;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/303603l-aqpk/01.jpg
197627619835;MOONHİKER - APOGEE ORBİTAL TREK;Ayakkabı;Skechers;Siyah;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/183188-B/01.jpg
197627619798;MOONHİKER - APOGEE ORBİTAL TREK;Ayakkabı;Skechers;Siyah;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/183188-B/01.jpg
197627619804;MOONHİKER - APOGEE ORBİTAL TREK;Ayakkabı;Skechers;Siyah;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/183188-B/01.jpg
8683030030722;SUMMİTS;Ayakkabı;Skechers;Siyah;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/52811TK-BBK/01.jpg
8683030662282;SUMMİTS - UNKNOWN TRAİL;Ayakkabı;Skechers;Siyah;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150254TK-BBK/01.jpg
8683030661858;ARCH FİT 2.0 - DARK HORSE;Ayakkabı;Skechers;Siyah;9;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/150062TK-BBK/01.jpg
195969321829;ULTRA FLEX 2.0;Ayakkabı;Skechers;Siyah;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/167323-BBK/01.jpg
196311603532;HYPER SLİDE - DERİVER;Ayakkabı;Skechers;Siyah;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/246020-BBK/01.jpg
196989473888;SLİP-İNS: ON-THE-GO FLEX - CAPTİVATİNG;Ayakkabı;Skechers;Siyah;6;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/136544-BBK/01.jpg
8683030770840;GO WALK FLEX RAY;Ayakkabı;Skechers;Siyah;10;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/216334tk-bbk/01.jpg
8683030634913;SKECH - LİTE PRO - PERFECT TİME;Ayakkabı;Skechers;Siyah;7;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/149991TK-BBK/149991TK-BBK-14-0.jpg
195969889497;SKECHERS GO CONSİSTENT SANDAL - SYNTHWAVE;Ayakkabı;Skechers;Siyah;12.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/229035-BBK/229035-BBK-87-0.jpg
8683030636610;BURST 2.0;Ayakkabı;Skechers;Siyah;9.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/999739TK-BBK/01.jpg
198376326623;MAX CUSHIONING ELITE 2.0 BOOT SNOW DAZE;Ayakkabı;Skechers;Siyah;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/144368-bbk/01.jpg
197627926872;D'LUX WALKER 2.0  -  DURVEN;Ayakkabı;Skechers;Siyah;7.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/232715-BBK/01.jpg
196989797885;ON-THE-GO STELLAR - COZY STEP;Ayakkabı;Skechers;Siyah;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/144775-BBK/01.jpg
198739053487;MOONHIKER AIR - SCALE UP;Ayakkabı;Skechers;Siyah;11;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/183199-bbk/01.jpg
196989006598;MODERN D'LUX - GOOD START;Ayakkabı;Skechers;Siyah;8.5;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/8/158584-BBK/01.jpg
8683030031415;FLEX ADVANTAGE 3.0;Ayakkabı;Skechers;Siyah;8;https://skcfiles.mncdn.com/mnresize/600/600/livephotos/232073TK-BBK/01.jpg.jpg
